nct_id,indication
NCT04439890,Lung Non-Squamous Non-Small Cell Carcinoma
NCT05585645,Anemia
NCT05585645,Chronic Kidney Disease Requiring Chronic Dialysis
NCT03892018,Epithelial Neoplasm
NCT03984097,Multiple Myeloma
NCT03977194,Epithelial Neoplasm
NCT03492671,Pancreatic Cancer
NCT03492671,Pancreatic Cancer
NCT04025593,Diffuse Large B-Cell Lymphoma
NCT03933735,Multiple Myeloma
NCT04121507,Non-Hodgkin Lymphoma
NCT04121507,High Grade B-Cell Lymphoma
NCT04121507,Intestinal T-Cell Lymphoma
NCT03983759,Small Cell Lung Cancer
NCT03983759,Extensive Stage Lung Small Cell Carcinoma
NCT03983759,Adoptive Cellular Immunotherapy
NCT03983759,Leukemia
NCT03983759,Maintenance
NCT04045847,Glioblastoma
NCT04045847,CD147 Positive
NCT03795597,Multiple Myeloma
NCT03930953,Non-Hodgkin Lymphoma
NCT03910387,Pancreatic Cancer
NCT03910387,Pancreatic Cancer
NCT03910387,Pancreatic Cancer
NCT03910387,Pancreatic Cancer
NCT03910387,Pancreatic Cancer
NCT04356430,Prostate Cancer
NCT03924986,Nasopharyngeal Cancer
NCT03818061,Head and Neck Neoplasm
NCT03802058,Non-Small Cell Lung Cancer
NCT03802058,Epithelial Neoplasm
NCT03764137,Colon Carcinoma
NCT03825744,Severe Aplastic Anemia
NCT03754933,Head and Neck Neoplasm
NCT03967938,Advanced Cancers Harbouring Mutations in HRG
NCT03671811,Intraepithelial Neoplasia
NCT03671811,Endometrial Cancer
NCT03486197,Urothelial Carcinoma
NCT03724968,Metastatic Melanoma
NCT03724968,Skin Melanoma
NCT03724968,Acral Lentiginous Melanoma
NCT03851237,Pancreatic Cancer
NCT05728632,Breast Cancer
NCT05728632,Diffuse Large B-Cell Lymphoma
NCT05728632,Cardiotoxicity
NCT05728632,Left Ventricular Dysfunction
NCT05728632,Leukemia
NCT03616886,Triple-Negative Breast Cancer
NCT03819465,Epithelial Neoplasm
NCT03755141,HER2-Positive Breast Cancer
NCT03755141,Brain Metastasis
NCT03298945,Colorectal Cancer
NCT03596281,Ovarian Cancer
NCT03579446,Hematology
NCT03579446,Solid Tumors
NCT03579446,Solid Tumors
NCT03663166,Non-Small Cell Lung Cancer
NCT03513484,Acute Myeloid Leukemia
NCT03513484,Acute Myeloid Leukemia
NCT03513484,Fibroblast Growth Factor Basic Form Measurement
NCT03513484,Acute Myeloid Leukemia
NCT03513484,Acute Myeloid Leukemia
NCT03513484,Acute Myeloid Leukemia
NCT03664687,Breast Cancer
NCT03706547,Multiple Myeloma
NCT03706547,Multiple Myeloma
NCT03426904,Colon Carcinoma
NCT03714490,Digestive System Neoplasm
NCT03646461,Head and Neck Neoplasm
NCT03646461,Head and Neck Squamous Cell Carcinoma
NCT03708328,Solid Tumors
NCT03708328,Metastatic Melanoma
NCT03708328,Non-Small Cell Lung Cancer
NCT03708328,Small Cell Lung Cancer
NCT03708328,Esophageal Squamous Cell Carcinoma
NCT03689699,Prostate Cancer
NCT03689699,Prostate Cancer
NCT03715517,Hepatectomy
NCT03715517,"Pain, Postoperative"
NCT03715517,Liver Cancer
NCT03011671,High-Grade Glioma
NCT03707093,Digestive System Neoplasm
NCT03090880,Venous Thromboembolism
NCT03090880,Thoracic Neoplasm
NCT03457142,Multiple Myeloma
NCT03457142,Multiple Myeloma
NCT03587038,Glioblastoma
NCT03664895,Breast Cancer
NCT03600467,Solid Tumors
NCT03600467,Androgen Receptor Gene Overexpression
NCT03580928,Chronic Lymphocytic Leukemia
NCT03617003,Urothelial Carcinoma
NCT03265717,Chronic Lymphocytic Leukemia
NCT03600129,Prostate Cancer
NCT03363867,Ovarian Cancer
NCT03363867,Fallopian Tube Cancer
NCT03363867,Primary Peritoneal Cancer
NCT03574402,Non-Small Cell Lung Cancer
NCT03516591,Myelodysplastic Syndrome
NCT03535727,Digestive System Neoplasm
NCT03535727,Pancreatic Diseases
NCT03535727,Endocrine Neoplasm
NCT03535727,Lung Adenocarcinoma
NCT03535727,Pancreatic Cancer
NCT03535727,Epithelial Neoplasm
NCT03535727,Neoplasms
NCT03535727,Digestive System Neoplasm
NCT03535727,Digestive System Neoplasm
NCT03535727,Endocrine Neoplasm
NCT03483675,Chronic Graft Versus Host Disease
NCT03529266,Esophageal Cancer
NCT03529266,Gastroesophageal Junction Cancer
NCT03529266,Anastomotic Leak
NCT03410693,Epithelial Neoplasm
NCT03533582,Hepatocellular Carcinoma
NCT03533582,Liver Cancer
NCT03533582,Hepatocellular Carcinoma
NCT03533582,Liver Cancer
NCT03533582,Liver Cancer
NCT03473756,Urothelial Carcinoma
NCT03544125,Breast Cancer
NCT03544125,Breast Cancer
NCT03544125,HER2-Negative Breast Cancer
NCT03544125,Breast Cancer
NCT03544125,Breast Cancer
NCT03544125,Triple-Negative Breast Cancer
NCT03245554,Digestive System Neoplasm
NCT04263298,Brain Metastasis
NCT03341520,Grade 1 Follicular Lymphoma
NCT03341520,Grade 2 Follicular Lymphoma
NCT03341520,Grade 1 Follicular Lymphoma
NCT03341520,Grade 2 Follicular Lymphoma
NCT03464201,Ovarian Cancer
NCT03239392,T-Cell Large Granular Lymphocyte Leukemia
NCT03239392,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma
NCT03488225,Acute Lymphoblastic Leukemia
NCT03488225,Acute Lymphoblastic Leukemia
NCT03488225,Philadelphia chromosome-negative acute lymphoblastic leukemia
NCT03492931,Sickle Cell Disease
NCT02876640,Breast Cancer
NCT02876640,Breast Cancer
NCT02876640,Breast Cancer
NCT02876640,Breast Cancer
NCT02876640,Breast Cancer
NCT02876640,Breast Cancer
NCT02876640,Breast Ductal Carcinoma In Situ
NCT02876640,Breast Cancer
NCT02876640,Breast Cancer
NCT03418168,Anemia
NCT03418168,"Renal Insufficiency, Chronic"
NCT03402230,Epithelial Neoplasm
NCT03402230,Epithelial Neoplasm
NCT03407300,Non-Small Cell Lung Cancer
NCT03395873,Acute Myeloid Leukemia
NCT03390062,Glioma
NCT03164772,Epithelial Neoplasm
NCT03164772,Non-Small Cell Lung Cancer
NCT03389035,Acute Lymphoblastic Leukemia
NCT03231176,Biliary Tract Cancer
NCT03315364,Breast Cancer
NCT03350477,Gastric Cancer
NCT03298893,Cervical Cancer
NCT03298893,Cervical Cancer
NCT03362723,Solid Tumors
NCT03352947,Male Reproductive System Neoplasm
NCT03427242,Biliary Tract Cancer
NCT02570958,Non-Small Cell Lung Cancer
NCT02570958,Thoracic Surgery
NCT03222609,Primary Myelofibrosis
NCT03106779,Chronic Myeloid Leukemia
NCT02760953,Urinary System Neoplasm
NCT03233347,Hodgkin Lymphoma
NCT03233347,Hodgkin Lymphoma
NCT03233347,Hodgkin Lymphoma
NCT03233347,Hodgkin Lymphoma
NCT03233347,Hodgkin Lymphoma
NCT03233347,Hodgkin Lymphoma
NCT03233347,Classic Hodgkin Lymphoma
NCT03168100,Multiple Myeloma
NCT03256071,Acute Myeloid Leukemia
NCT03256071,Allogeneic Hematopoietic Stem Cell Transplantation
NCT03256071,Conditioning
NCT03288493,Multiple Myeloma
NCT03045653,Breast Cancer
NCT03280264,Parathyroid Cancer
NCT03280264,Primary Hyperparathyroidism
NCT03194932,Acute Myeloid Leukemia
NCT03950141,HER-2 Negatived Gastric Cancer
NCT03042416,Congenital Hyperinsulinism
NCT03042416,Kidney Wilms Tumor
NCT03042416,Neuroendocrine Tumors
NCT03042416,Parkinson Disease
NCT03042416,Central Nervous System Neoplasm
NCT03229200,High Grade B-Cell Lymphoma
NCT03229200,Non-Hodgkin Lymphoma
NCT03229200,Hematology
NCT03229200,Graft Versus Host Disease
NCT03229200,Solid Tumors
NCT03085069,Thoracic Neoplasm
NCT03085069,Non-Small Cell Lung Cancer
NCT03085069,Respiratory System Neoplasm
NCT03085069,Thoracic Neoplasm
NCT03085069,Respiratory Tract Disease
NCT03085069,Respiratory System Neoplasm
NCT03085069,Epithelial Neoplasm
NCT02567422,Carcinoma of Unknown Primary
NCT02567422,Head and Neck Squamous Cell Carcinoma
NCT02567422,Hypopharyngeal Cancer
NCT02567422,Laryngeal Cancer
NCT02567422,Lip and Oral Cavity Cancer
NCT02567422,Oropharyngeal Cancer
NCT02567422,Head and Neck Squamous Cell Carcinoma
NCT02567422,Hypopharyngeal Cancer
NCT02567422,Laryngeal Cancer
NCT02567422,Lip and Oral Cavity Cancer
NCT02567422,Oropharyngeal Cancer
NCT02567422,Head and Neck Squamous Cell Carcinoma
NCT03167853,Neuroendocrine Tumors
NCT06390839,Hematology
NCT06390839,Solid Tumors
NCT06390839,Hematology
NCT06390839,Solid Tumors
NCT03020030,Acute Lymphoblastic Leukemia
NCT03052127,Uveal Melanoma
NCT03052127,Eye Neoplasm
NCT03052127,Uveal Melanoma
NCT02216578,Soft Tissue Sarcoma
NCT02782546,Acute Myeloid Leukemia
NCT02935205,Prostate Cancer
NCT02935205,Prostate Cancer
NCT02935205,Prostate Cancer
NCT03141463,Intraepithelial Neoplasia
NCT03141463,Cervical Cancer
NCT03096184,Head and Neck Squamous Cell Carcinoma
NCT02881554,Hepatocellular Carcinoma
NCT02881554,Liver Cancer
NCT02881554,Liver Cancer
NCT02881554,Vascular Thrombosis
NCT02881554,Intrahepatic Cholangiocarcinoma
NCT02881554,Liver Cancer
NCT02970539,Gastric Cancer
NCT02970539,Esophageal Cancer
NCT02970539,Gastro-esophageal Cancer
NCT02962063,Esophageal Cancer
NCT02962063,Gastroesophageal Junction Cancer
NCT03027739,Acute Lymphoblastic Leukemia
NCT02810990,Chronic Myeloid Leukemia
NCT02873598,Pancreatic Cancer
NCT02921919,Cancer
NCT02940886,Iron-Deficiency Anemia
NCT02940886,Iron-Deficiency Anemia
NCT02921893,Plasmacytoma
NCT02921893,Plasma Cell Neoplasm
NCT02942173,Graft Versus Host Disease
NCT02942173,Leukemia
NCT02942173,Hematology
NCT02942173,Myelodysplastic Syndrome
NCT02942173,Graft Versus Host Disease
NCT02942173,Opportunistic Infections
NCT02946021,Head and Neck Neoplasm
NCT02946021,Cardiovascular Neoplasm
NCT02946021,Head and Neck Neoplasm
NCT03606863,Colon Carcinoma
NCT03606863,Parenteral Nutrition
NCT03606863,Fast-track
NCT02873975,Epithelial Neoplasm
NCT02829840,Leukemia
NCT02829840,Acute Myeloid Leukemia
NCT02829840,Myelodysplastic Syndrome
NCT03070548,Solid Tumors
NCT02903914,Anal Cancer
NCT02903914,Solid Tumors
NCT02903914,Colorectal Cancer
NCT02903914,Gastric Cancer
NCT02903914,Head and Neck Neoplasm
NCT02903914,Thoracic Neoplasm
NCT02903914,Renal Cell Carcinoma
NCT02903914,Bladder Cancer
NCT02903914,Urothelial Carcinoma
NCT02903914,Mesothelioma
NCT02880371,Solid Tumors
NCT02768792,Acute Myeloid Leukemia
NCT02721550,Digestive System Neoplasm
NCT02693067,Neuroendocrine Tumors
NCT02886897,Hepatocellular Carcinoma
NCT02886897,Renal Cell Carcinoma
NCT02886897,Bladder Cancer
NCT02886897,Colorectal Cancer
NCT02886897,Non-Small Cell Lung Cancer
NCT02886897,Breast Cancer
NCT02924753,T-cell acute lymphoblastic leukemia
NCT02724878,Clear Cell Renal Cell Carcinoma
NCT02725489,Breast Cancer
NCT02725489,Ovarian Cancer
NCT02725489,Fallopian Tube Cancer
NCT02725489,Primary Peritoneal Cancer
NCT02725489,Uterine Cancer
NCT02725489,Cervical Cancer
NCT02725489,Endometrial Cancer
NCT02808442,Acute Lymphoblastic Leukemia
NCT02808442,Acute Lymphoblastic Leukemia
NCT02661685,Neoplasm Metastasis
NCT02775370,Epithelial Neoplasm
NCT02787369,Chronic Lymphocytic Leukemia
NCT04439123,Hematology
NCT04439123,Solid Tumors
NCT04439123,Hematology
NCT04439123,Hematology
NCT04439123,Solid Tumors
NCT04439123,Multiple Myeloma
NCT01821833,Breast Cancer
NCT01821833,Female Reproductive System Neoplasm
NCT01821833,Connective and Soft Tissue Neoplasm
NCT02780310,Epithelial Neoplasm
NCT02692248,Diffuse Large B-Cell Lymphoma
NCT02697058,Pancreatic Cancer
NCT02688712,Rectal Carcinoma
NCT02712112,Connective and Soft Tissue Neoplasm
NCT02653105,Ovarian Cancer
NCT02680574,Anemia
NCT02680574,Non-Dialysis-Dependent Chronic Kidney Disease
NCT03564704,Leukemia
NCT03564704,Acute Leukemia
NCT03564704,Non-Hodgkin Lymphoma
NCT03564704,Acute Lymphoblastic Leukemia
NCT03564704,T-cell acute lymphoblastic leukemia
NCT03564704,Acute Lymphoblastic Leukemia
NCT03564704,T Lymphoblastic Lymphoma
NCT03564704,Acute Lymphoblastic Leukemia
NCT02460367,Non-Small Cell Lung Cancer
NCT02460367,Non-Small Cell Lung Cancer
NCT02460367,Non-Small Cell Lung Cancer
NCT02621970,Nasopharyngeal Cancer
NCT02671955,Digestive System Neoplasm
NCT02523469,Non-Small Cell Lung Cancer
NCT02459067,Malignant Melanoma
NCT02459067,Non-Small Cell Lung Cancer
NCT02459067,Renal Cell Carcinoma
NCT02634827,Acute Myeloid Leukemia
NCT02634827,Acute Myeloid Leukemia
NCT02634827,Acute Myeloid Leukemia
NCT02634827,Acute Myeloid Leukemia
NCT02634827,Acute Myeloid Leukemia
NCT02622932,Solid Tumors
NCT02384382,Prostate Cancer
NCT02384382,Castration-Resistant Prostate Carcinoma
NCT02496741,Glioma
NCT02496741,Bile Duct Cancer
NCT02496741,Chondrosarcoma
NCT02549352,Actinic Keratosis
NCT02608216,Breast Neoplasm
NCT02608216,Brain Metastasis
NCT02608216,Breast Cancer
NCT02501902,Pancreatic Cancer
NCT02494713,Prostate Cancer
NCT02514603,Male Reproductive System Neoplasm
NCT02574533,Skin Melanoma
NCT02574533,Malignant Melanoma
NCT02574533,Male Reproductive System Neoplasm
NCT02648711,Solid Tumors
NCT02752204,Diffuse Large B-Cell Lymphoma
NCT02308072,Head and Neck Neoplasm
NCT03507088,Brain Metastasis
NCT02166658,Breast Cancer
NCT02166658,Thoracic Neoplasm
NCT02166658,Central Nervous System Neoplasm
NCT02166658,Progressive Brain Metastases
NCT02514382,Multiple Myeloma
NCT02514382,Multiple Myeloma
NCT02526329,Graft Versus Host Disease
NCT02367040,Non-Hodgkin Lymphoma
NCT02383966,Head and Neck Squamous Cell Carcinoma
NCT02496208,Urinary Tract Carcinoma
NCT02496208,Clear Cell Renal Cell Carcinoma
NCT02496208,Urothelial Carcinoma
NCT02496208,Urinary Tract Squamous Cell Carcinoma
NCT02496208,Urothelial Carcinoma
NCT02496208,Urothelial Carcinoma
NCT02496208,Urothelial Carcinoma
NCT02496208,Kidney Cancer
NCT02496208,Genitourinary System Neoplasm
NCT02496208,Solid Tumors
NCT02496208,Renal Cell Carcinoma
NCT02496208,Male Reproductive System Neoplasm
NCT02496208,Male Reproductive System Neoplasm
NCT02496208,Ureter Urothelial Carcinoma
NCT02496208,Urethral Cancer
NCT02496208,Ureter Urothelial Carcinoma
NCT02496208,Ureter Urothelial Carcinoma
NCT02496208,Renal Pelvis Carcinoma
NCT02496208,Non-Clear Cell Renal Cell Carcinoma
NCT02496208,Bladder Cancer
NCT02496208,Male Reproductive System Neoplasm
NCT02496208,Renal Cell Carcinoma
NCT02496208,Urothelial Carcinoma
NCT02496208,Urothelial Carcinoma
NCT02496208,Ureter Urothelial Carcinoma
NCT02496208,Urethral Cancer
NCT02496208,Bladder Cancer
NCT02496208,Male Reproductive System Neoplasm
NCT02496208,Renal Cell Carcinoma
NCT02496208,Urothelial Carcinoma
NCT02420223,Multiple Myeloma
NCT02436408,Epithelial Neoplasm
NCT02497378,Multiple Myeloma
NCT01591356,Solid Tumors
NCT02482311,Ovarian Cancer
NCT02438358,Breast Cancer
NCT02489903,Neuroendocrine Carcinoma
NCT02489903,Non-Small Cell Lung Cancer
NCT02489903,Neuroendocrine Tumors
NCT02489903,Ovarian Cancer
NCT02207309,Sarcoma
NCT03757754,Esophageal Cancer
NCT02394795,Colorectal Cancer
NCT02396134,Chronic Myeloid Leukemia
NCT02396134,Acute Lymphoblastic Leukemia
NCT02396134,AML with maturation
NCT02396134,Hodgkin Lymphoma
NCT02396134,Non-Hodgkin Lymphoma
NCT02396134,Chronic Myeloid Leukemia
NCT02396134,Cytomegaloviral Infection
NCT02396134,Hematology
NCT02396134,HLA-A*0201 Positive Cells Present
NCT02396134,Myelodysplastic Syndrome
NCT02396134,Non-Hodgkin Lymphoma
NCT02396134,Chronic Lymphocytic Leukemia
NCT02396134,Primary Myelofibrosis
NCT02396134,Myeloproliferative Neoplasm
NCT04440956,Neuroendocrine Tumors
NCT02292550,Non-Small Cell Lung Cancer
NCT02314169,Anal Cancer
NCT02314169,Anal Cancer
NCT02314169,Anal Cancer
NCT02291055,Cervical Cancer
NCT02291055,Cancer
NCT02291055,Head and Neck Neoplasm
NCT02353741,Non-Small Cell Lung Cancer
NCT02530411,Neoplasms
NCT02866370,Ovarian Clear Cell Adenocarcinoma
NCT02866370,Endometrial Clear Cell Adenocarcinoma
NCT02437227,Male Reproductive System Neoplasm
NCT02437227,Cancer
NCT02322281,Non-Small Cell Lung Cancer
NCT02345408,Pancreatic Cancer
NCT02517918,Solid Tumors
NCT02517918,Osteosarcoma
NCT02616601,Actinic Keratosis
NCT03862170,Prostate Cancer
NCT02250846,Lung Non-Squamous Non-Small Cell Carcinoma
NCT02276560,Non-Small Cell Lung Cancer
NCT02314052,Hepatocellular Carcinoma
NCT02254954,Glioblastoma
NCT02391038,Advanced Gastrointestinal Carcinoma
NCT02391038,Gastroesophageal Junction Cancer
NCT02391038,Gastric Cancer
NCT02391038,Gastroesophageal Junction Cancer
NCT02391038,Gastric Cancer
NCT02391038,Gastroesophageal Junction Cancer
NCT02391038,Digestive System Neoplasm
NCT02298387,Solid Tumors
NCT02306278,Central Nervous System Neoplasm
NCT02285179,Breast Cancer
NCT03012945,Elderly
NCT03012945,Malignant Tumor
NCT03012945,Surgical Resection
NCT03012945,Epidural Anesthesia
NCT03012945,Long-term Outcome
NCT02212197,Prostate Cancer
NCT02274337,Non-Small Cell Lung Cancer
NCT02217709,Prostate Cancer
NCT02217709,Prostate Cancer
NCT02217709,Prostate Cancer
NCT02217709,Prostate Cancer
NCT02217709,Prostate Cancer
NCT02217709,Prostate Cancer
NCT02231723,Pancreatic Cancer
NCT02361112,Brain Metastasis
NCT02029417,Acute Myeloid Leukemia
NCT02029417,Acute Megakaryoblastic Leukemia
NCT02029417,AML with minimal differentiation
NCT02029417,Acute Myeloid Leukemia
NCT02029417,Acute Monocytic Leukemia
NCT02029417,AML with maturation
NCT02029417,AML without maturation
NCT02029417,Acute Myeloid Leukemia
NCT02029417,Acute Myeloid Leukemia
NCT02029417,Acute Myeloid Leukemia
NCT02029417,Acute Myeloid Leukemia
NCT02029417,Acute Myeloid Leukemia
NCT02029417,Acute Myelomonocytic Leukemia
NCT02029417,Acute Erythroid Leukemia
NCT02029417,Acute Erythroid Leukemia
NCT02029417,Acute Myeloid Leukemia
NCT02029417,Acute Myeloid Leukemia
NCT02115035,Multiple Myeloma
NCT02128191,Bronchopulmonary Dysplasia (BPD)
NCT02194426,Neoplasms
NCT01880359,Head and Neck Squamous Cell Carcinoma
NCT02195869,Graft Versus Host Disease
NCT02101684,Female Reproductive System Neoplasm
NCT02119468,Multiple Myeloma
NCT02119468,Multiple Myeloma
NCT02176746,Digestive System Neoplasm
NCT02252146,Diffuse Large B-Cell Lymphoma
NCT02059239,Hodgkin Lymphoma
NCT02059239,Non-Hodgkin Lymphoma
NCT01802814,Acute Lymphoblastic Leukemia
NCT01943188,Clear Cell Renal Cell Carcinoma
NCT01943188,Renal Cell Carcinoma
NCT01943188,Renal Cell Carcinoma
NCT02069093,Breast Cancer
NCT02137785,Actinic Keratosis
NCT02111577,Castration-Resistant Prostate Carcinoma
NCT02038010,HER2-Positive Breast Cancer
NCT02038010,Breast Cancer
NCT02038010,Breast Cancer
NCT02038010,Breast Cancer
NCT02038010,Breast Cancer
NCT02038010,Breast Cancer
NCT02071537,Malignant Neoplasm
NCT02071537,Solid Tumors
NCT02058381,Pre-menopausal Breast Cancer
NCT02058381,PI3K Pathway Inhibition
NCT05008237,Salivary Gland Cancer
NCT01991873,Colorectal Cancer
NCT02065869,Acute Lymphoblastic Leukemia
NCT02065869,Acute Myeloid Leukemia
NCT02065869,Non-Hodgkin Lymphoma
NCT02065869,Myelodysplastic Syndrome
NCT02065869,Primary Immunodeficiency
NCT02065869,"Anemia, Aplastic"
NCT02065869,Osteopetrosis
NCT02065869,Hemoglobinopathies
NCT02065869,Myeloid Neoplasm
NCT02065869,Fanconi Anemia
NCT02065869,Diamond-Blackfan Anemia
NCT02065869,Thalassemia
NCT02065869,"Anemia, Sickle Cell"
NCT02146118,Non-Small Cell Lung Cancer
NCT02117167,Epithelial Neoplasm
NCT02697552,Non-Hodgkin Lymphoma
NCT02159365,Multiple Myeloma
NCT01895842,Leukemia
NCT02041429,Breast Cancer
NCT02041429,Brain Metastasis
NCT02076230,Solid Tumors
NCT02089178,Breast Cancer
NCT03977103,Acute Myeloid Leukemia
NCT03977103,Acute Lymphoblastic Leukemia
NCT03977103,Myeloproliferative Neoplasm
NCT03977103,Hematology
NCT03977103,Multiple Myeloma
NCT03977103,Other Hematologic Malignant Neoplasms
NCT02027090,Non-Small Cell Lung Cancer
NCT02029937,Eye Neoplasm
NCT02029937,Intraepithelial Neoplasia
NCT01397799,Acute Myeloid Leukemia
NCT01588951,Acute Myeloid Leukemia
NCT01659502,Pancreatic Cancer
NCT01928030,Lymphedema
NCT01928030,Malignant Neoplasm
NCT01987102,Osteosarcoma
NCT02001272,Ovarian Cancer
NCT01969695,Non-Hodgkin Lymphoma
NCT01974349,Solid Tumors
NCT01809171,Breast Cancer
NCT01809171,Musculoskeletal Disease
NCT01866449,Glioblastoma
NCT01976195,Primary Immune Thrombocytopenia
NCT01989845,Rivaroxaban
NCT01989845,Cancer-associated Thrombosis
NCT01989845,Recurrence
NCT01989845,Genitourinary System Neoplasm
NCT01848132,Diffuse Large B-Cell Lymphoma
NCT01864772,Head and Neck Squamous Cell Carcinoma
NCT01820325,Non-Small Cell Lung Cancer
NCT02083692,Head and Neck Squamous Cell Carcinoma
NCT01816594,HER2-Positive Breast Cancer
NCT01932580,Gastric Cancer
NCT01932580,Esophageal Cancer
NCT01795430,Adult Supratentorial Primitive Neuroectodermal Tumor (PNET)
NCT01795430,Ewing Sarcoma
NCT01795430,Soft Tissue Sarcoma
NCT01795430,Peripheral Primitive Neuroectodermal Tumor
NCT01795430,Central Nervous System Embryonal Tumor
NCT01795430,Connective and Soft Tissue Neoplasm
NCT01795430,Untreated Childhood Supratentorial Primitive Neuroectodermal Tumor
NCT01849380,Breast Neoplasm
NCT01849380,Gastric Cancer
NCT01481233,Prostate Cancer
NCT01849250,Breast Neoplasm
NCT01849250,Breast Ductal Carcinoma In Situ
NCT01849250,Breast Cancer
NCT01849250,Breast Cancer
NCT01849250,Breast Paget Disease
NCT01849250,Breast Cancer
NCT01849250,Breast Cancer
NCT01849250,Breast Cancer
NCT01849250,Breast Cancer
NCT01849250,Breast Cancer
NCT01849250,Breast Cancer
NCT01849250,Breast Cancer
NCT01867866,Solid Tumors
NCT01846416,Non-Small Cell Lung Cancer
NCT04635852,Cancer
NCT04635852,Respiratory System Neoplasm
NCT01630564,Hematology
NCT01805037,Diffuse Large B-Cell Lymphoma
NCT01805037,T-Cell Non-Hodgkin Lymphoma
NCT01805037,Anaplastic Large Cell Lymphoma
NCT01805037,"Follicular Helper T-Cell Lymphoma, Angioimmunoblastic-Type"
NCT01805037,Burkitt Lymphoma
NCT01805037,Contiguous Stage II Adult Diffuse Large Cell Lymphoma
NCT01805037,Contiguous Stage II Adult Diffuse Mixed Cell Lymphoma
NCT01805037,Contiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma
NCT01805037,Diffuse Large B-Cell Lymphoma
NCT01805037,Non-Hodgkin Lymphoma
NCT01805037,Grade 1 Follicular Lymphoma
NCT01805037,Grade 2 Follicular Lymphoma
NCT01805037,Grade 3 Follicular Lymphoma
NCT01805037,Mantle Cell Lymphoma
NCT01805037,Marginal Zone Lymphoma
NCT01805037,Small Lymphocytic Lymphoma
NCT01805037,Primary Cutaneous B-Cell Non-Hodgkin Lymphoma
NCT01805037,Epstein-Barr Virus Infection
NCT01805037,Extranodal Marginal Zone Lymphoma
NCT01805037,T-Cell Non-Hodgkin Lymphoma
NCT01805037,Non-Hodgkin Lymphoma
NCT01805037,Nodal Marginal Zone Lymphoma
NCT01805037,Burkitt Lymphoma
NCT01805037,Noncontiguous Stage II Adult Diffuse Large Cell Lymphoma
NCT01805037,Noncontiguous Stage II Adult Diffuse Mixed Cell Lymphoma
NCT01805037,Noncontiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma
NCT01805037,Diffuse Large B-Cell Lymphoma
NCT01805037,Non-Hodgkin Lymphoma
NCT01805037,Grade 1 Follicular Lymphoma
NCT01805037,Grade 2 Follicular Lymphoma
NCT01805037,Grade 3 Follicular Lymphoma
NCT01805037,Mantle Cell Lymphoma
NCT01805037,Marginal Zone Lymphoma
NCT01805037,Small Lymphocytic Lymphoma
NCT01805037,Hematology
NCT01805037,T-Cell Non-Hodgkin Lymphoma
NCT01805037,Post-Transplant Lymphoproliferative Disorder
NCT01805037,Hairy Cell Leukemia
NCT01805037,Burkitt Lymphoma
NCT01805037,Recurrent Adult Diffuse Mixed Cell Lymphoma
NCT01805037,Recurrent Adult Diffuse Small Cleaved Cell Lymphoma
NCT01805037,Diffuse Large B-Cell Lymphoma
NCT01805037,Hodgkin Lymphoma
NCT01805037,Diffuse Large B-Cell Lymphoma
NCT01805037,Non-Hodgkin Lymphoma
NCT01805037,Adult T-Cell Leukemia/Lymphoma
NCT01805037,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma
NCT01805037,Grade 1 Follicular Lymphoma
NCT01805037,Grade 3 Follicular Lymphoma
NCT01805037,Mantle Cell Lymphoma
NCT01805037,Marginal Zone Lymphoma
NCT01805037,Mycosis Fungoides and Sezary Syndrome
NCT01805037,Small Lymphocytic Lymphoma
NCT01805037,Hairy Cell Leukemia
NCT01805037,Digestive System Neoplasm
NCT01805037,Splenic Marginal Zone Lymphoma
NCT01805037,Burkitt Lymphoma
NCT01805037,Diffuse Large B-Cell Lymphoma
NCT01805037,Stage I Adult Diffuse Mixed Cell Lymphoma
NCT01805037,Stage I Adult Diffuse Small Cleaved Cell Lymphoma
NCT01805037,Hodgkin Lymphoma
NCT01805037,Diffuse Large B-Cell Lymphoma
NCT01805037,Non-Hodgkin Lymphoma
NCT01805037,Adult T-Cell Leukemia/Lymphoma
NCT01805037,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma
NCT01805037,Grade 1 Follicular Lymphoma
NCT01805037,Grade 2 Follicular Lymphoma
NCT01805037,Grade 3 Follicular Lymphoma
NCT01805037,Mantle Cell Lymphoma
NCT01805037,Marginal Zone Lymphoma
NCT01805037,Small Lymphocytic Lymphoma
NCT01805037,Mycosis Fungoides and Sezary Syndrome
NCT01805037,Mycosis Fungoides and Sezary Syndrome
NCT01805037,Hodgkin Lymphoma
NCT01805037,Adult T-Cell Leukemia/Lymphoma
NCT01805037,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma
NCT01805037,Mycosis Fungoides and Sezary Syndrome
NCT01805037,Grade 2 Follicular Lymphoma
NCT01805037,Mycosis Fungoides and Sezary Syndrome
NCT01805037,Burkitt Lymphoma
NCT01805037,Stage III Adult Diffuse Large Cell Lymphoma
NCT01805037,Stage III Adult Diffuse Mixed Cell Lymphoma
NCT01805037,Stage III Adult Diffuse Small Cleaved Cell Lymphoma
NCT01805037,Hodgkin Lymphoma
NCT01805037,Diffuse Large B-Cell Lymphoma
